keyword,year,month
expressive movements,2012,
including remote flashing procedures,2011,September
signal representations,2014,01
Spectrum analysis,2015,May
mv curve minimization problem,2014,June
biomedical signal processing,2013,May
biomedical signal processing,2013,
open source software,2011,December
open source software,2013,April
open source software,2013,04
query optimization,2014,
query optimization,2012,October
query optimization,2012,June
query optimization,2012,April
pulse rms timing jitter,2011,04
A contrario,2011,July
A contrario,2011,07
detection,2013,May
internet service provider,2016,05
paires de photons jumeaux,2011,March
spherical codes,2013,01
building knowledge bases,2014,November
Model-Based System Engineering,2016,
Model-Based System Engineering,2016,January
phase diagram characterization,2012,04
tive nonnegative matrix factorization,2015,
software based tools,2011,05
réseaux sociaux,2011,September
réseaux sociaux,2013,July
réseaux sociaux,2011,May
sum power required,2014,May
Variational approach,2011,01
querying data sources,2011,April
querying data sources,2011,08
ACM Classification Keywords H5m Information interfaces and presentation (eg,2014,October
standard binary classification setup,2011,May
Experimentation,2012,May
Experimentation,2012,September
Experimentation,2014,May
Experimentation,2011,February
Experimentation,2011,June
Experimentation,2011,02
Experimentation,2011,November
Régulation de l'accès,2011,January
68Q25,2012,09
Sampling Conditions,2013,June
Sampling Conditions,2013,01
(LUT),2012,June
investigated using functions,2013,February
Attack (VPA),2011,June
Brain plasticity,2011,June
Brain plasticity,2011,March
Analog fault simulation,2015,01
tiplexing 4 channels modulated,2015,October
language technology applications,2013,
positive random variables,2011,12
yf u n c,2012,10
mitigate pdl impairments,2012,
Convergence rate,2016,September
Convergence rate,2016,04
Convergence rate,2014,September
Convergence rate,2014,04
lossless coding,2014,01
lossless coding,2014,December
3d surface geometry using,2011,12
troubles,2013,January
super-resolution,2013,
super-resolution,2015,March
rich information sources,2015,May
tournament solutions,2011,03
tournament solutions,2011,
resulting semantic infrastructure associated,2012,August
r ℓ receive antennas,2014,10
ing technique coupled,2011,
Stein&apos;s unbiased risk estimate,2011,
AICD dataset,2011,
Masking Countermeasure,2011,June
8 billion pairwise interactions,2015,February
breast density,2013,February
MIMO channels,2015,November
Modèles HMM,2012,May
virtual character,2011,August
virtual character,2014,August
image understanding system,2015,
Personification,2011,September
strictly serializable hytm implementation,2015,
Traffic Uncertainty,2012,03
Localized basis,2011,June
Localized basis,2011,12
Localized basis,2012,June
Localized basis,2012,12
tation using dynamic parameters,2007,04
Second Life,2011,August
channel,2011,March
Nao,2011,May
RKHS,2011,06
RKHS,2011,June
state of polarization,2012,10
state of polarization,2012,October
Nash,2014,01
collaboration franco-allemands,2015,October
Collaboration at a distance,2011,August
Pervasive,2011,02
finite sample sizes,2011,02
FSS,2013,May
nonlinear distortion,2015,
using distributed learning algorithms,2016,March
using distributed learning algorithms,2016,07
corpus analysis,2014,October
Amplitude modulatio,2013,December
échanges,2011,January
connect ion wit h,2011,
r 3,2013,June
r 3,2013,01
Condorcet-Kemeny problem,2013,June
Condorcet-Kemeny problem,2013,06
wavelet analysis,2007,
eyebrow motion synthesis,2013,August
Digital breast tomosynthesis,2014,
continuous distributions,2011,12
Time-frequency,2013,April
level sets,2011,May
GRETA,2011,October
GRETA,2011,October
GRETA,2012,October
GRETA,2011,
break double iterations,2014,October
Action recognition,2014,September
Conflict decomposition,2014,May
multiple descriptions,2012,August
multiple descriptions,2011,
short term broadband sounds,2015,
electrode reduction,2014,March
electrode reduction,2014,01
proposed resource allocation algorithm,2011,07
proposed resource allocation algorithm,2014,May
formations,2011,January
proposed media access control,2011,01
proposed media access control,2011,January
mean integrated squared error,2015,October
mean integrated squared error,2015,07
− 70 db,2014,June
Hemodynamic response function (HRF),2015,01
Hemodynamic response function (HRF),2015,January
weak order,2012,July
weak order,2015,01
weak order,2013,01
Turing transformation,2013,June
Turing transformation,2013,06
corresponding recall value,2013,01
corresponding recall value,2013,January
different contexts,2011,01
different contexts,2011,October
different contexts,2012,01
different contexts,2012,October
SSB,2013,July
lognormally shadowed networks based,2013,03
investigate two alignment processes,2014,October
software,2013,December
Memory tracing,2015,December
Programming Languages—Program analysis; C3 [Special-,2015,November
Change-point estimation,2011,June
Change-point estimation,2011,
subsample,2014,June
San,2013,
level body cues,2015,May
Hypergraph,2013,
masking countermeasure,2014,
SysML-Sec,2016,February
social search,2013,12
social search,2012,October
trusted common random source,2012,07
Deviation inequalities,2011,11
research community –,2011,December
research community –,2013,April
research community –,2013,04
RMT * c,2012,07
Image quality assessment,2015,October
Keywords,2011,
Keywords,2012,May
Keywords,2014,June
Keywords,2014,
Keywords,2011,March
Keywords,2015,November
Keywords,2011,June
Keywords,2013,April
Keywords,2012,November
Keywords,2014,May
Keywords,2010,03
Keywords,2012,October
Keywords,2012,May
Keywords,2012,December
Keywords,2012,June
Keywords,2014,
Keywords,2012,March
Keywords,2011,February
Keywords,2011,October
Keywords,2013,September
Keywords,2014,
Keywords,2014,February
Keywords,2013,September
Keywords,2012,April
ElectroMagnetic Analysis,2011,December
frequentist cumulated regret,2012,01
sampling pattern,2011,March
real-time rendering,2014,01
possible structural differences,2011,09
automatic relevance determination,2012,09
distributed online social networks,2015,February
planck results agree well,2014,11
planck results agree well,2014,November
munications (060.2920) Fiber optics and optical communications,2014,November
unsupervised learning,2015,October
ALISP tools,2011,June
tunable repetition rate picosecond,2016,04
weighted automata,2013,06
Non Local Means,2016,02
low bias powers associated,2012,07
visioconférense,2011,October
total variability modeling,2013,June
ieee international symposium,2015,June
ieee international symposium,2015,July
label stripping,2012,May
web archiving,2014,August
web archiving,2014,July
web archiving,2014,October
110 th meeting,2015,
comments first experimental results,2011,
heterogeneous networks,2015,May
heterogeneous networks,2015,June
heterogeneous networks,2013,
heterogeneous networks,2014,11
Imagerie biologique,2015,April
Imagerie biologique,2015,September
aggregate cost,2013,April
relevance feedback approaches,2011,
Charanpal Dhanjal,2014,05
wirelessnetworks,2014,November
multimode fiber,2015,March
simple caching replacement approaches,2013,September
Temporal order,2014,May
enable cognitive secondary users,2014,
London SW7 2AZ,2011,11
Piecewise-constant Mumford-Shah functional,2013,
Interfaces,2015,12
Interfaces,2015,October
Interfaces,2015,August
Interfaces,2011,February
current online social networks,2016,11
data-flow analysis,2015,November
MUSIC algorithm,2013,June
extraction,2012,April
stochastic integral,2014,April
stochastic integral,2014,07
Large random matrix theory,2013,June
BASED SYSTEMS—Smartcards,2013,September
Erlang formula,2012,January
optical ssb context,2014,June
rail precharge logic suffers,2015,01
head motion synthesis,2013,August
head motion synthesis,2014,August
Index Terms—Image/video retrieval,2011,09
material,2012,
F32 [Logics and Meanings of Programs]: Semantics of,2015,November
Prokhorov,2015,July
Prokhorov,2016,March
random forest approach,2015,May
temporal context kernel improves,2011,November
Index Terms— Brain computer interfaces,2013,
adaptive metropolis algorithm,2012,08
improve recognition accuracy compared,2015,08
audio coding,2012,March
aspect,2012,August
Displays,2012,April
Point,2011,September
ALISP units,2012,December
MOC,2012,September
langues,2013,May
support,2013,June
scénario,2011,June
facilitate reusing shading information,2011,
observation-driven models,2015,September
observation-driven models,2015,February
observation-driven models,2015,July
detailed knowledge • edited,2013,
2008 ): corneal,2014,01
Saliency,2013,September
pp58 &lt;hal- 00761073&gt;,2015,May
pp58 &lt;hal- 00761073&gt;,2013,May
diffusion Raman spontanée,2015,July
Sparse structured priors,2013,April
innovation ascendante,2011,May
HDR,2013,April
Closed-form,2014,April
Index Terms: Algebraic reduction,2008,January
Index Terms: Algebraic reduction,2012,January
muscles contrac-,2015,October
(RSM),2013,
Rate-quantization model,2014,12
Rate-quantization model,2014,December
Rate-quantization model,2014,May
simplicial complex representation,2014,
optical pulse compression,2016,04
defect tolerance,2014,June
defect tolerance,2014,May
unprofiled distinguishers,2016,July
Visual search,2014,October
Visual search,2014,April
Trace codes,2016,11
modern statistical image processing,2014,June
négociation,2013,July
and object,2014,March
and object,2014,01
first data product based,2011,May
automatic video inpainting algorithm,2014,December
Software,2014,February
exposimeter,2014,April
exposimeter,2014,March
exposimeter,2014,September
central limit theorem Entropy 2014,2014,August
vertical stereo camera,2013,September
intermodulation distortion,2012,October
olivier autonomic computing,2013,
efficiently preserves semantic content,2012,September
Flutter Shutter,2015,August
Visualization,2015,April
matching known ontology instances,2012,August
relay beamforming,2013,
Intercorrelation maximization,2012,April
Mul-,2014,February
surface,2012,09
surface,2014,March
surface,2014,01
Safety Properties,2010,05
Model-based engineering,2011,October
classication,2012,May
Simulation,2014,06
Simulation,2011,07
Simulation,2011,October
Dispersion,2013,December
error strongly biases estimations,2015,
Selection Techniques,2014,September
Wyner-,2012,05
Oscillatory entrainment,2014,May
Web-based services,2011,June
Multi-path,2012,November
réception active,2011,May
matrix completion,2014,December
online EM,2012,March
Index Terms— Signal restoration,2012,May
Selective Hardening,2012,April
tack,2012,05
ground moving target focusing,2013,July
whose optimal elements,2013,01
Active contours model,2014,August
liver segmentation,2013,September
Recurrent Neural Networks,2015,April
Cybernetic spaces,2014,September
Likelihood,2012,08
Likelihood,2012,February
proximal algorithms,2011,
Lagrangian multiplier,2015,July
mémoire,2014,April
european uwb frequency band,2014,March
Computer Vision]: General—Image displays,2011,04
exposure index,2014,March
exposure index,2014,September
deep neural networks,2016,07
SAR image time series,2014,01
representation of holographic data,2014,July
particular algorithms based,2013,06
Graphics and Realism—Color,2014,01
pédagogie active,2011,June
means high computational power,2014,
paper proposes one step,2012,June
Majorization-minimization,2013,05
Compu- tational Social Intelligence,2014,November
decentralized power flow optimization,2011,December
online adaptive forecasting,2013,June
No-regret learning,2011,07
significantly higher coding gain,2016,01
Multichannel fusion,2013,
Hidden,2014,May
heuristic,2012,October
algebraicgraphtrans- formation,2014,September
total-variation,2013,
total-variation,2013,June
Optimisation,2015,August
combinatoire,2015,April
also considering private interests,2014,
level-of-detail,2011,01
Classification,2015,July
Classification,2011,
Classification,2014,
scalar field design,2012,10
Wireless Routing Protocol,2012,
robot au- dition,2011,
Stochastic epidemic model,2015,12
Information leakage,2013,May
optimal transportation,2011,11
requirements,2012,November
assuming passive attacks require,2011,June
optical modulation,2011,June
Challenge Countermeasures Tree (CCT),2012,November
Techniques—[Standards,2015,June
Dirichlet forms,2015,
Delay-Tolerance,2011,06
elementary component making,2011,June
significant differences regarding,2011,September
f .- x,2011,
f .- x,2012,
digital lecturing environment,2011,September
Flick and Brake,2011,
WDDL,2014,September
Archimedean   spiral   antenna,2012,March
existing scheduling algorithm,2013,October
confort,2011,September
rare event analysis,2015,12
Multi-view,2011,July
physique de la mesure,2014,
C21 [Network Architecture and Design]: Network communications,2014,September
second life,2012,June
learning procedure significantly improves,2011,
values proportional,2006,07
Hypertext/Hypermedia – architectures,2011,February
experiments show periodic pulsation,2015,01
experiments show periodic pulsation,2015,February
Radiofrequency,2014,
ram )- based bcdl,2015,01
signal coûteux,2014,December
pick-and-drop ACM Classification Keywords H52 [Information Interfaces and Presentation]: User Inter- faces -Graphical user interfaces,2016,
distributed fashion without,2011,07
format,2011,November
visioconference,2012,December
non stationary modelling,2013,June
Mobile devices,2013,April
Mobile devices,2011,October
Mobile devices,2014,October
40 0 40 detection2delay2,1886,
Functional Equations,2012,December
index terms — field,2016,01
imply different quality levels,2015,May
'Cryptographie',2015,May
describes communication processing outside,2011,12
describes communication processing outside,2011,May
describes communication processing outside,2012,12
describes communication processing outside,2012,May
Seigniorage,2013,01
p2p application performance may,2013,June
p2p application performance may,2013,01
texture+depth,2014,October
texture+depth,2015,July
texture+depth,2015,September
Image blur · Subpixel convolution kernel,2012,01
wavelength optical switching performed,2014,May
rate bound analysis,2016,06
migrations,2014,May
nested continuous collection,2011,May
source coding,2011,October
source coding,2011,04
synthetic aperture radar,2015,07
théorie des graphes,2015,April
espaces européens,2015,May
WDM PON,2014,October
digital panoramas,2012,07
reconfigurable ddsr architecture,2014,June
11 resource allocation scheme,2015,
Quantization,2011,May
Quantization,2013,04
proposed method using synthetic,2015,January
multi-organ localization,2015,
Index Terms—Fisheye,2016,01
Index Terms—Fisheye,2016,January
Music Signal Processing,2015,April
sound recognition,2012,
Dominating Codes,2015,April
build control structures,2012,April
external optical feedback makes,2011,09
square errors observed,2014,March
complex matrix decomposition,2014,May
controller integration,2013,September
Index Terms— Object-based metric,2012,October
minimum variance distorsionless response,2012,07
characterization,2014,September
Internet Monitor- ing,2014,01
reliability analysis,2012,December
reliability analysis,2013,
Spatial adaptivity,2011,May
Spatial adaptivity,2012,May
regression,2015,
complexité,2012,May
complexité,2015,February
complexité,2015,April
Non-stationary signal modelling,2013,October
Non-stationary signal modelling,2014,July
Non-stationary signal modelling,2014,November
Non-stationary signal modelling,2013,July
Non-stationary signal modelling,2013,November
satisfy integrity constraints,2011,April
satisfy integrity constraints,2011,08
based confidence intervals,2013,01
Signal,2016,March
convergence using different,2006,07
aided communications system,2015,August
four packet level traces,2012,11
four packet level traces,2012,November
SDR,2013,August
aimed movement,2015,July
Profile centric model,2013,October
Index Terms—SON Coordination,2014,December
Multi-surface interaction,2013,April
generated using multifrequency algorithms,2011,May
self management,2013,April
évolution,2016,March
modèle de respiration,2011,July
solve,2016,01
solve,2016,January
yield random outcomes,2014,
H35 [Information Storage and Retrieval]: Online In- formation Services—Web-based services,2013,October
H2 [Database Management]: Systems—Query processing,2014,
measurement theory,2011,October
Videoethnography,2012,March
evaluation,2011,September
Complexity Classes,2016,May
Complexity Classes,2015,April
Visual quality assess- ment,2015,December
"g ., months vs",2012,August
pdfcreator=HAL,2015,01
shellcam provides smooth object,2014,
Fault injection attacks,2014,December
twelve primary systems submitted,2013,June
two dust temperature model,2011,June
I33 [Computer Graphics]: Picture/Image Generation—Line and Curve Genera- tion,2017,05
Beam combining,2011,February
Image Sharing,2012,August
Analog-to-digital conversion,2011,August
sensing-throughput tradeoff,2015,June
Realtime Animation,2015,August
inspect http data streams,2014,
System on a Chip (SoC),2014,
multiplicative update algorithms,2011,May
multiplicative update algorithms,2010,12
lower time horizons,2016,May
Lo- cal Descriptors Links: DL PDF,2017,05
HOTP,2015,December
download nonlinear time series,2011,
download nonlinear time series,2012,
makeup,2011,January
Keywords: shape approximation,2013,11
filtre optique,2014,October
propagation,2014,September
propagation,2015,April
propagation,2015,February
propagation,2014,April
propagation,2014,February
propagation,2015,April
I72 [Document and Text Processing]: Document Prepa-,2012,May
créativité,2012,June
hancement,2016,07
Functional Data Analysis,2011,06
Functional Data Analysis,2011,June
maximum total aggregate density,2015,January
Optical transmission system,2014,November
Side-Channel Attacks (SCA),2012,
Model Driven,2011,March
source coding approach based,2011,
ration,2011,
Consensual,2012,July
important inherent risk factor,2012,February
violin,2014,01
violin,2014,September
mobile communications,2012,December
transistor-level,2015,October
truth dance choreography annotations,2013,01
truth dance choreography annotations,2013,August
truth dance choreography annotations,2012,01
truth dance choreography annotations,2012,August
Matching Attributed Relational Graphs,2012,03
timing overheads due,2014,October
tion refinement,2014,03
rial also points,2014,November
Constraint satisfaction,2013,
mobility,2015,June
mobility,2012,September
mobility,2012,May
Euler spirals AMS subject classifications 68U10,2011,
Virtualization and Cloud Computing,2014,
simulated annealing,2014,01
simulated annealing,2013,01
simulated annealing,2013,
simulated annealing,2016,09
pure exploration,2016,01
tions,2016,01
tions,2013,September
tions,2015,October
Semiconductor optical amplifier,2014,01
Semiconductor optical amplifier,2014,August
sematics handles control links,2012,June
innovation,2011,
innovation,2012,April
innovation,2013,May
innovation,2012,
innovation,2011,February
innovation,2012,
récit,2012,October
subtrees using spherical harmonics,2013,06
brain-computer interfaces,2013,April
brain-computer interface,2014,March
brain-computer interface,2014,01
Theta series,2016,10
Theta series,2016,January
Theta series,2013,10
Theta series,2013,January
ElectroMyoGram (EMG),2015,October
Arabic handwriting recognition,2012,January
graph mining,2013,February
graph mining,2013,February
extensive numerical experiment,2016,03
ACM Classification Keywords,2011,
ACM Classification Keywords,2011,
ACM Classification Keywords,2014,September
Virtual agents,2010,03
Virtual agents,2014,
Virtual agents,2014,February
Système de transmission optique OFDM,2011,July
two important classes,2017,05
pro-ana,2013,January
pro-ana,2013,March
Parallel Computing,2014,September
image synthesis,2015,July
resolution subspace esprit method,2012,12
resolution subspace esprit method,2012,December
4833025 broad wavelength tunability,2014,09
decide whether two blocks,2012,04
Social Attitudes,2014,
Social Attitudes,2015,August
ters,2014,01
technique,2011,06
for,2013,October
viscous layer area,2012,October
model selection,2011,April
model selection,2011,April
model selection,2011,March
auxiliary random variables,2012,03
auxiliary random variables,2012,January
gestion industrielle,2013,
diffusion,2013,April
diffusion,2012,03
diffusion,2012,January
Informatique portée,2011,October
generalized matching problems,2013,August
sampling rate,2011,September
simple voting procedure yields,2015,06
simple voting procedure yields,2015,February
usage des technologies de médiation,2012,September
plausible route,2012,05
implementation builds upon,2012,September
Self-Organising Systems,2014,November
target localization performance associated,2014,01
Spatial Crowdsourcing,2016,April
MRT,2012,09
discontinuous rf frequency bands,2013,
IHM,2013,April
IHM,2013,April
Autonomic Computing,2011,January
Autonomic Computing,2013,
Autonomic Computing,2014,September
Autonomic Computing,2012,April
whose theta series must,2010,
norms,2014,June
Turbo codes,2011,September
audio source separation,2015,August
audio source separation,2012,August
audio source separation,2015,October
audio source separation,2015,April
transport ineaulity,2012,August
hardware integrity verification sensors,2012,September
Radio Environment Map,2015,January
Channel,2015,December
Index Terms— Pair comparison,2013,
consensus,2012,May
Object tracking,2012,March
vie privée,2011,September
vie privée,2013,July
vie privée,2011,May
M -estimation,2017,May
testing data shows,2012,
assigned target value,2014,12
assigned target value,2014,December
assigned target value,2014,May
Index Terms Variable length codes,2011,04
[Database Management]: Information Search and Retrieval—Search,2012,May
Natural image statistics,2016,03
Natural image statistics,2016,February
Natural image statistics,2015,03
Natural image statistics,2015,February
quantum communication Paper 120782P,2012,10
quantum communication Paper 120782P,2012,October
improved meg,2014,June
Index Terms—Cellular networks,2016,09
listener&apos;s behaviour · backchannels · personality traits ·,2012,July
listener&apos;s behaviour · backchannels · personality traits ·,2012,07
ACM Classification: H5m Information interfaces and pre-,2011,
Compressed sensing,2011,September
Compressed sensing,2011,March
scheme indeed improves cell,2013,May
Visual Search Engine,2012,August
independent identically distributed sequence,2016,01
independent identically distributed sequence,2016,October
independent identically distributed sequence,2015,01
independent identically distributed sequence,2015,October
glaciers,2012,
Fisher information inequality (FII),2011,January
Room impulse response,2013,October
one new riskware,2014,
path deploying relay nodes,2014,April
fully autonomous integrated real,2011,
fully autonomous integrated real,2012,
ton campus,2011,11
map decoding rule,2014,May
elderly people living alone,2011,
elderly people living alone,2012,
trace codes,2014,July
resolution 3d medical images,2012,October
variable quantum key distribution,2011,12
variable quantum key distribution,2011,December
natural language,2013,August
locked quantum dot laser,2013,March
cages,2012,September
"xml ), ovf ++",2013,June
arithmetic codes,2011,04
based network functions virtualization,2016,April
large dimensional sensor array,2015,09
Change detection,2015,March
Change detection,2015,03
amplitudes around − 7,2011,June
LLCPS,2014,April
LLCPS,2013,April
LLCPS,2014,October
pdfproducer=PDFLaTeX,2015,01
Language Technology Components,2013,June
Nonnegative matrix factorisation,2014,July
Nonnegative matrix factorisation,2014,November
Nonnegative matrix factorisation,2013,July
Nonnegative matrix factorisation,2013,November
Nonnegative matrix factorisation,2016,March
receivers,2012,August
Dimensionality reduction,2011,December
equipment,2015,February
music,2012,March
music,2011,November
music,2011,October
music,2012,January
tual agent,2014,May
"e ), thedistance",2014,March
"e ), thedistance",2014,01
modeling,2013,September
250 µm τ 250,2011,June
large random matrices,2011,April
refining possibilities,2008,08
find significant performance improvements,2013,April
c 2 also form,2013,05
c 2 also form,2013,May
Graph,2014,November
N-path filter,2013,May
exploits image redundancy,2013,April
face recognition systems degrade,2015,May
Advanced metering infrastructure,2014,July
Interactive Image Segmentation,2012,03
optimistic algorithm,2013,02
Kruskal-Wallis test,2011,June
Kruskal-Wallis test,2011,
uniform noise,2014,September
purchase history graph,2011,December
sition,2014,December
threshold voltage variation,2011,
MRO,2014,December
analysis,2015,December
analysis,2011,September
analysis,2014,April
TLS,2012,
TLS,2011,
TLS,2014,
TLS,2015,December
give two recent examples,2015,October
give two recent examples,2015,07
Limit theorems *,2014,01
phase consistency,2015,August
quantum key distribution,2015,01
providing packet services,2012,October
sec toolchain ttool,2014,April
secondary activity cannot interfere,2011,01
secondary activity cannot interfere,2011,January
— reliability issues became,2014,June
corneal epithelial cells,2014,01
automatic speech recognition,2016,05
automatic speech recognition,2016,February
automatic speech recognition,2017,05
automatic speech recognition,2017,February
automatic speech recognition,2011,
automatic speech recognition,2012,
automatic speech recognition,2013,August
Content aware compression,2012,July
information- theoretic divergences,2016,01
decision problem remains open,2013,06
graph,2015,July
graph,2013,October
graph,2011,June
graph,2014,October
Hybrid BCI,2012,March
Security application,2015,08
shadow,2012,April
shadow,2012,04
Keywords: mesh simplification,2015,August
ccn forwarding strategies,2011,December
ccn forwarding strategies,2011,September
ccn forwarding strategies,2012,December
ccn forwarding strategies,2012,September
interruptions,2012,December
Index Terms—Scalar field visualization,2012,10
multidisciplinary open access archive,2012,
multidisciplinary open access archive,2014,
multidisciplinary open access archive,2015,08
multidisciplinary open access archive,2014,08
multidisciplinary open access archive,2015,
multidisciplinary open access archive,2014,
multidisciplinary open access archive,2016,02
multidisciplinary open access archive,2012,04
multidisciplinary open access archive,2015,07
multidisciplinary open access archive,2015,
multidisciplinary open access archive,2012,
multidisciplinary open access archive,2013,01
multidisciplinary open access archive,2012,
multidisciplinary open access archive,2015,04
multidisciplinary open access archive,2011,01
multidisciplinary open access archive,2015,01
multidisciplinary open access archive,2015,
multidisciplinary open access archive,2014,
multidisciplinary open access archive,2013,
multidisciplinary open access archive,2011,
multidisciplinary open access archive,2015,
multidisciplinary open access archive,2015,
multidisciplinary open access archive,2012,October
multidisciplinary open access archive,2012,11
multidisciplinary open access archive,2012,
multidisciplinary open access archive,2011,
multidisciplinary open access archive,2014,
multidisciplinary open access archive,2015,October
multidisciplinary open access archive,2015,May
multidisciplinary open access archive,2012,
multidisciplinary open access archive,2014,01
multidisciplinary open access archive,2015,
multidisciplinary open access archive,2015,01
multidisciplinary open access archive,2012,10
multidisciplinary open access archive,2013,
multidisciplinary open access archive,2015,06
multidisciplinary open access archive,2015,February
multidisciplinary open access archive,2011,
AMS subject classifications 68U10,2016,03
AMS subject classifications 68U10,2012,12
AAA Framework,2013,July
Imaginaire,2011,
capital social,2013,July
Behavioural Simulation,2013,
EEG,2015,December
EEG,2013,September
EEG,2012,March
EEG,2014,June
EEG,2015,
distance,2013,September
orthogonal frequency division multiplexing,2011,December
metropolitan area network,2013,01
metropolitan area network,2013,January
Brllouin,2014,November
Brllouin,2014,September
PLCA,2012,March
PLCA,2012,August
PLCA,2014,September
scheduling theory,2013,June
every codeword,2016,January
every codeword,2016,02
every codeword,2015,January
every codeword,2015,02
formal methodologies could directly,2011,September
Phase reconstruction,2015,August
crop extent estimation,2012,July
various acceleration strategies allow,2011,07
Stack decoder,2015,November
demodulation,2012,May
interference plus noise ratio,2011,
interference plus noise ratio,2014,
interference plus noise ratio,2016,May
topological verification naturally follows,2011,04
topological verification naturally follows,2012,04
piano tuning,2012,August
full rate equation model,2014,February
average payoff function,2015,
I38 [Comput- ing Methodologies]: Computer Graphics—Applications General Terms: Human Factors Additional Key Words and Phrases: facial expressions,2015,01
received signal strength indicator,2012,September
high noise rate,2012,02
machine-learning,2011,October
Traffic classification,2011,04
Petri Nets,2013,June
Network-as-a-Service,2016,April
Theory,2012,May
Theory,2011,June
Theory,2012,March
Theory,2011,October
Visual attention,2013,September
Soft and Hard Rules,2012,August
two different perspectives,2012,01
Interactive Public Displays,2014,September
reference database consisted,2011,
auto-completion,2012,May
ma- licious adversaries,2012,04
conflicting policy updates must,2015,April
Index Terms—Distributed Measurements,2014,01
compétence,2013,May
Non-negative   decomposition,2011,February
Kriging,2011,07
Kriging,2011,July
Augmented Reality,2011,September
differential entropy,2014,August
differential entropy,2011,January
polynomial hierarchy,2013,June
polynomial hierarchy,2013,06
Platform competition,2015,01
model-driven engineering,2015,July
collaborative work,2014,01
collaborative work,2011,October
collaborative work,2013,September
collaborative work,2013,September
Double snakes,2015,01
sysml-sec,2014,April
existing multiprocessor real,2013,October
using additional available information,2014,01
HEVC ACM Classification Keywords H51 Information interfaces and presentation: Multimedia Information Systems: Video,2015,July
two spatial scalability layers,2014,
gpgpu,2013,March
industries culturelles,2011,November
industries culturelles,2011,
Bayesian model selection,2016,March
explanatory reasoning,2014,01
explanatory reasoning,2014,May
obstetric imaging,2015,08
Affective computing,2014,
Affective computing,2015,August
Sensing,2011,June
parallel proximal splitting method,2013,11
parallel proximal splitting method,2012,11
cellaneous,2012,October
Attaque par injection de fautes,2014,August
Corrélations de photons,2015,February
Index Terms—Broadcast channel,2014,April
Index Terms—Broadcast channel,2013,April
Index Terms—Broadcast channel,2014,01
Orchestration,2013,June
Orchestration,2012,June
use stratified morse theory,2011,04
use stratified morse theory,2012,04
Likelihood ratio,2011,September
equality,2011,06
ordonnancement,2013,August
Author Keywords On-body input,2015,
best serving base station,2014,
Branch and bound method,2012,April
SRL,2013,May
social virtual actors,2013,August
Convex programming AMS subject classifications 90C25,2016,01
Convex programming AMS subject classifications 90C25,2016,October
Convex programming AMS subject classifications 90C25,2015,01
Convex programming AMS subject classifications 90C25,2015,October
Crossbar,2012,June
Software defined radio,2014,February
Scheduled Lightpath Demands (SLDs),2013,June
Scheduled Lightpath Demands (SLDs),2014,January
Topographic maps,2014,January
mostly find three types,2014,01
économie,2012,December
downlink spectral efficiency,2016,May
Index Terms— Semiconductor laser,2014,12
cluttered images,2013,09
radiofréquences,2012,
Rate-Distortion,2015,06
kiyoko gocho contributed equally,2016,05
kiyoko gocho contributed equally,2015,05
minimax lower bound,2014,02
Asymptotic independence,2016,01
histogram specifica-,2011,11
micro-optics,2011,June
Author Keywords,2011,
Author Keywords,2014,September
Bandwidth Mismatch Error,2012,June
Locator/ID separation,2013,March
Locator/ID separation,2013,April
cognitive radio,2011,July
cognitive radio,2015,June
human-agent interaction,2014,October
feedback,2014,April
feedback,2013,April
feedback,2015,July
feedback,2013,March
feedback,2014,01
modulation index,2011,May
approximately solve mixed packing,2013,August
Acoustic radiance transfer,2015,12
Acoustic radiance transfer,2015,December
highly dynamic input data,2015,January
Réseaux de Bragg,2011,July
Oscillation de Bloch,2015,June
Oscillation de Bloch,2015,06
result must respect,2014,August
empathic rational dialog agent,2012,05
computationally efficient insofar,2011,June
tation,2013,
jes Transform,2013,02
k ≥ 3,2015,11
RANSAC,2014,
mentale,2013,January
TAR,2013,October
scheme significantly outperforms,2014,11
scheme significantly outperforms,2014,November
electroabsorption,2012,March
Five-port,2012,August
nm fully depleted silicon,2016,01
social dynamics,2013,September
rationalization,2012,July
dynamic model interpretation,2011,April
balanced fairness,2011,November
layer network coding operating,2014,May
graph visualization methodology based,2008,08
random Fourier phase,2011,September
Model,2010,02
Model,2013,02
low-contrast,2016,April
hidden models,2014,
Multimodal segmentation,2016,April
nested lattices,2012,05
Advanced En-,2012,
commonly used parameter values,2011,11
commonly used parameter values,2011,November
Vector Machines,2012,12
tone mapping,2015,October
tone mapping,2015,December
tone mapping,2013,June
Prototyping,2013,February
Optoelectronic devices,2015,September
Optoelectronic devices,2015,September
triple temporal redundancy approaches,2013,October
Non-local means,2011,May
Non-local means,2012,May
dynamic duopoly,2013,March
dynamic duopoly,2013,03
Or- thogonal Frequency Division Multiplexing (OFDM),2014,11
Maison intelligente,2014,October
H5 [Information Interfaces and Presentation]: Multi-,2014,February
Five-Port Receiver,2013,April
related fractional power control,2011,
illimité,2011,November
C21 [Network Architecture and Design]: Internet,2013,April
Self-similar processes,2011,03
Self-similar processes,2012,03
proposed channel access policy,2011,June
40 gbps coherent dual,2013,09
ω c h 2,2014,February
discrete memoryless broadcast channel,2013,02
NaaS,2016,April
NaaS,2015,September
Large-scale,2014,
Index Terms— Change detection,2011,
structural models,2013,November
